Problem,PopularityScore
2084-E,0.007274815736575094
2084-C,0.007274815736575094
2084-B,0.007274815736575094
2084-A,0.007274815736575094
2084-D,0.007179094476883316
2057-D,0.007179094476883316
2057-C,0.007179094476883316
2057-B,0.007179094476883316
2057-A,0.007179094476883316
2057-E1,0.007083373217191539
2084-G1,0.006891930697807983
2077-A,0.006891930697807983
2077-C,0.006796209438116206
2077-B,0.006796209438116206
2061-D,0.006796209438116206
2057-E2,0.006796209438116206
2039-B,0.006796209438116206
2039-A,0.006796209438116206
2077-E,0.006700488178424428
2061-E,0.006700488178424428
2061-C,0.006700488178424428
2061-A,0.006700488178424428
2039-D,0.006700488178424428
2039-C2,0.006700488178424428
2039-C1,0.006700488178424428
1991-F,0.006700488178424428
2062-C,0.006604766918732651
2062-A,0.006604766918732651
2061-B,0.006604766918732651
2053-E,0.006604766918732651
2053-D,0.006604766918732651
2053-C,0.006604766918732651
2053-B,0.006604766918732651
2053-A,0.006604766918732651
2048-A,0.006604766918732651
2039-E,0.006604766918732651
1991-E,0.006604766918732651
1991-D,0.006604766918732651
1991-C,0.006604766918732651
1991-B,0.006604766918732651
1991-A,0.006604766918732651
2066-C,0.006509045659040874
2066-B,0.006509045659040874
2062-E1,0.006509045659040874
2062-B,0.006509045659040874
2048-C,0.006509045659040874
2048-B,0.006509045659040874
2062-D,0.006413324399349096
2048-D,0.006413324399349096
2035-B,0.006413324399349096
